concurrency_level,trial_id,thread_id,status_code,result_type,latency_ms
10,15,4,409,CONFLICT_409,0.0112
10,16,9,200,SUCCESS_ACCEPTED,0.2113
10,16,3,409,CONFLICT_409,0.0197
10,16,2,409,CONFLICT_409,0.0529
10,16,4,409,CONFLICT_409,0.0136
10,16,7,409,CONFLICT_409,0.0123
10,16,0,409,CONFLICT_409,0.0114
10,16,1,409,CONFLICT_409,0.0106
10,16,6,409,CONFLICT_409,0.01
10,16,5,409,CONFLICT_409,0.0084
10,16,8,409,CONFLICT_409,0.0083
10,17,9,200,SUCCESS_ACCEPTED,0.15
10,17,0,409,CONFLICT_409,0.0428
10,17,4,409,CONFLICT_409,0.0175
10,17,1,409,CONFLICT_409,0.0403
10,17,6,409,CONFLICT_409,0.0618
10,17,7,409,CONFLICT_409,0.0231
10,17,8,409,CONFLICT_409,0.063
10,17,5,409,CONFLICT_409,0.0156
10,17,3,409,CONFLICT_409,0.0135
10,17,2,409,CONFLICT_409,0.0483
10,18,9,200,SUCCESS_ACCEPTED,0.3545
10,18,1,409,CONFLICT_409,0.0432
10,18,0,409,CONFLICT_409,0.0163
10,18,3,409,CONFLICT_409,0.0167
10,18,4,409,CONFLICT_409,0.013
10,18,2,409,CONFLICT_409,0.0104
10,18,5,409,CONFLICT_409,0.0098
10,18,7,409,CONFLICT_409,0.0216
10,18,6,409,CONFLICT_409,0.01
10,18,8,409,CONFLICT_409,0.0083
10,19,9,200,SUCCESS_ACCEPTED,0.1686
10,19,1,409,CONFLICT_409,0.0314
10,19,2,409,CONFLICT_409,0.0131
10,19,0,409,CONFLICT_409,0.011
